"key","en","vi"
"primis_main_quest_4.questAcceptDialog[2]","&7&oI should follow the &9&oBlue Flower &7&opath to the &aMountain Guide&7&o!","&7&oTôi nên theo con đường &9&oBlue Flower &7&opath đến &aMountain Guide&7&o!"
"primis_main_quest_4.questAcceptDialog[3]","&7&oI should make sure to finish any business I got left before I leave.","&7&oTôi nên chắc chắn hoàn tất mọi việc còn dang dở trước khi rời đi."
"primis_main_quest_4.questAcceptDialog[4]","&7&oHint: Make sure you track the quest to make finding your destination easier!","&7&oMẹo: Hãy giữ theo dõi nhiệm vụ để việc tìm điểm đến dễ hơn!"
"primis_main_quest_4.questCompleteMessage[0]","&a[Petrae]&f Are you sure you want to risk it? I can help you...","&a[Petrae]&f Bạn có chắc muốn mạo hiểm không? Tôi có thể giúp bạn..."
"primis_main_quest_4.questCompleteMessage[1]","&7&oSeems like &aPetrae&f has a request for me.","&7&oCó vẻ như &aPetrae&f có một yêu cầu cho tôi."
"primis_main_quest_4.questLore[0]","We must report our findings about the &dBandit Camp&f to &dGladius&f!","Chúng ta phải báo cáo những phát hiện về &dBandit Camp&f cho &dGladius&f!"
"primis_main_quest_4.questLore[1]","The mountain pass is guarded by an ancient, powerful &cGolem&f which must be avoided at all costs!","Con đèo núi được canh bởi một &cGolem&f cổ xưa và mạnh mẽ, bắt buộc phải tránh bằng mọi giá!"
"primis_main_quest_4.questLore[2]","Follow the &9Blue Flowers&f along the path, they will lead you to a secret passage through the mountains!","Hãy đi theo &9Hoa Xanh&f dọc con đường, chúng sẽ dẫn bạn tới một lối đi bí mật xuyên qua núi!"
"primis_main_quest_4.questLore[3]","A mountain guide will be waiting for you at the end of the &9Blue Flower &fpath!","Một mountain guide sẽ chờ bạn ở cuối con đường &9Blue Flower &f!"
"primis_main_quest_5.name","&5The Crystal Elemental","&5The Crystal Elemental"
"primis_main_quest_5.questAcceptDialog[0]","&a[Petrae]&f You seek to defeat the &cCrystal Elemental&f? I can but wish you luck in your endeavor!","&a[Petrae]&f Bạn muốn đánh bại &cCrystal Elemental&f ư? Tôi chỉ chúc bạn may mắn thôi!"
"primis_main_quest_5.questAcceptDialog[1]","If you are successful in your attempt, meet my brother on the other side of the passage!","Nß║┐u anh th├ánh c├┤ng, h├úy gß║╖p anh trai t├┤i ß╗ƒ ph├¡a b├¬n kia lß╗æi ─æi!"
"primis_main_quest_5.questAcceptDialog[2]","&7&oSeems like I must defeat the &cCrystal Elemental&7&o.","&7&oCó vẻ như tôi phải đánh bại &cCrystal Elemental&7&o."
"primis_main_quest_5.questCompleteMessage[0]","&a[Eartep]&f Wow! Who are you? I saw you defeat the &cCrystal Elemental&f, clearly there's greatness in your future!","&a[Eartep]&f Wow! Bạn là ai vậy? Tôi thấy bạn đánh bại &cCrystal Elemental&f, rõ ràng tương lai của bạn rất lớn lao!"
"primis_main_quest_5.questCompleteMessage[1]","My brother sent you? Let me tell you the path to &dGladius&f!","Anh trai tôi cử bạn đến à? Để tôi chỉ đường đến &dGladius&f!"
"primis_main_quest_5.questLore[0]","You need to pass through? Ill timing, my friend.","Bạn phải đi qua à? Thời điểm thật tệ, bạn ạ."
"primis_main_quest_5.questLore[1]","A &cCrystal Elemental &fhas invaded our passage","Một &cCrystal Elemental &fđã xâm nhập vào lối đi của chúng ta"
"primis_main_quest_5.questLore[2]","and shut it down.","và khóa nó lại."
"primis_main_quest_5.questLore[3]","If you really must make your way to Gladius,","Nß║┐u anh thß║¡t sß╗▒ phß║úi ─æß║┐n Gladius,"
"primis_main_quest_5.questLore[4]","you will have to defeat this &cElemental&f first!","Bạn phải đánh bại &cElemental&f này trước tiên!"
"primis_main_quest_6.customObjectives.Objective1.dialog[0]","&a[Filius] &fYou made it through the mountain! You don't see that every day.","&a[Filius]&fBạn đã vượt qua dãy núi rồi! Bạn đâu phải thấy chuyện này mỗi ngày."
"primis_main_quest_6.customObjectives.Objective1.dialog[1]","I'm afraid my father is missing, but I can tell you about the path to &dGladius&f. If you want to help us though, talk to my &aMother&f!","Tôi sợ là cha tôi đã mất tích, nhưng tôi có thể chỉ bạn đường tới &dGladius&f. Nhưng nếu bạn muốn giúp chúng tôi, hãy nói chuyện với &aMother&f của tôi!"
"primis_main_quest_6.customObjectives.Objective1.dialog[2]","&7&oSeem like &aFilius&7&o can help me find the way to &dGladius&7&o.","&7&oCó vẻ như &a[Filius]&7&o có thể giúp tôi tìm đường tới &dGladius&7&o."
"primis_main_quest_6.customObjectives.Objective1.location","at the farmstead down the road","at the farmstead down the road"
"primis_main_quest_6.customObjectives.Objective1.npcName","Farmstead's Proprietor","Farmstead's Proprietor"
"primis_main_quest_6.name","&5The Farmstead","&5The Farmstead"
"primis_main_quest_6.questAcceptDialog[0]","&a[Eartep]&f Just tell the &aProprietor of the Farmstead&f that I sent you, though I have heard that the &aProprietor&f hasn't been seen in a while.","&a[Eartep]&f Chỉ cần nói cho &aProprietor of the Farmstead&f rằng tôi đã gửi bạn, mặc dù tôi nghe nói &aProprietor&f chưa xuất hiện được một thời gian."
"primis_main_quest_6.questAcceptDialog[1]","If they aren't around I am sure their son &aFilius&f will be glad to help you out!","Nß║┐u hß╗ì kh├┤ng c├│ ß╗ƒ ─æ├│ th├¼ t├┤i chß║»c con trai hß╗ì l├á &aFilius&f sß║╜ vui l├▓ng gi├║p anh!"
"primis_main_quest_6.questAcceptDialog[2]","Safe travels!","Th╞░ß╗úng lß╗Ö b├¼nh an!"
"primis_main_quest_6.questAcceptDialog[3]","&7&oI should follow the path to the &dFarmstead&7&o and talk to its &aProprietor&7&o.","&7&oTôi nên đi theo đường tới &dFarmstead&7&o và nói chuyện với &aProprietor&7&o của nó."
"primis_main_quest_6.questCompleteMessage[0]","&a[Eartep]&f Outstanding! I saw you defeat the &cCrystal Elemental&f, clearly there's greatness in your future!","&a[Eartep]&f Tuyệt vời! Tôi thấy bạn đánh bại &cCrystal Elemental&f, rõ ràng tương lai của bạn có gì thật vĩ đại!"
"primis_main_quest_6.questCompleteMessage[1]","Now that we are on the other side, let me tell you the path to &dGladius&f!","Giờ chúng ta đã sang phía bên kia, để tôi chỉ bạn con đường đến &dGladius&f!"
"primis_main_quest_6.questCompleteMessage[2]","&7&oI should talk to &aFilius&7&o to learn the way to &dGladius&7&o, and possibly talk to his &aMother&7&o to see how I can help.","&7&oTôi nên nói chuyện với &aFilius&7&o để biết đường tới &dGladius&7&o, và có thể nói với &aMother&7&o của anh ấy để xem tôi có thể giúp gì."
"primis_main_quest_6.questLore[0]","The path to &dGladius&f should be easy, but with all the disturbances we've been seeing I suspect it might not be that simple.","Con đường đến &dGladius&f phải chăng dễ dàng, nhưng với mọi rối loạn chúng tôi đang thấy thì có lẽ không hẳn vậy."
"primis_main_quest_6.questLore[1]","I am good friends with the &aProprietor of the Farmstead&f down the road.","Tôi là bạn thân của &aProprietor of the Farmstead&f ở dưới đường kia."
"primis_main_quest_6.questLore[2]","If you tell them I sent you, I am sure they will tell you how to safely reach &dGladius&f and give you news about the surrounding area.","Nß║┐u anh n├│i l├á t├┤i cß╗¡ ─æß║┐n, t├┤i chß║»c hß╗ì sß║╜ chß╗ë anh c├ích ─æß║┐n &dGladius&f an to├án v├á cho anh tin tß╗⌐c vß╗ü khu vß╗▒c xung quanh."
"primis_main_quest_6.questLore[3]","Good luck in your travels and stay safe!","Chúc may mắn trên đường và luôn an toàn!"
"primis_main_quest_7.customObjectives.Objective4.dialog[0]","&a[General Hasta] &fI can't believe you made it past the enemies.","&a[General Hasta]&f Tôi không thể tin bạn đã vượt qua kẻ địch."
"primis_main_quest_7.customObjectives.Objective4.dialog[1]","You are exactly the kind of help we need right now!","Bạn đúng kiểu người trợ giúp mà chúng tôi cần ngay lúc này!"
"primis_main_quest_7.customObjectives.Objective4.dialog[2]","&7&oSeems like I should talk to &aGeneral Hasta&7&o.","&7&oCó vẻ như tôi nên nói chuyện với &a[General Hasta]&7&o."
"primis_main_quest_7.customObjectives.Objective4.location","at Gladius","at Gladius"
"primis_main_quest_7.customObjectives.Objective4.npcName","Lord of Gladius","Lord of Gladius"
"primis_main_quest_7.name","&5The path to Gladius","&5Con đường đến Gladius"
"primis_main_quest_7.questAcceptDialog[0]","&a[Filius] Be careful on the road, clearly something has gone wrong in &dGladius&f.","&a[Filius]&f Hãy cẩn thận trên đường, rõ ràng có chuyện gì đó đã sai ở &dGladius&f."
"primis_main_quest_7.questAcceptDialog[1]","Once you reach &dGladius&f, the Fortress' lord should either be at his mansion or at the barracks!","Khi đến được &dGladius&f, lãnh chúa của Pháo đài hẳn sẽ ở dinh thự của ông ta hoặc tại doanh trại!"
"primis_main_quest_7.questAcceptDialog[2]","&7&oI should go down the path to &dGladius&7&o and clear out some &cUndead Sailors&7&o on the way there.","&7&oTôi nên xuống đường tới &dGladius&7&o và dọn bớt vài người &cUndead Sailors&7&o trên đường."
"primis_main_quest_7.questCompleteMessage[0]","&a[Lord Hasta]&f Were you sent as reinforcements from Pontis Mille? Where are the others? Are you a messenger?","&a[Lord Hasta]&f Bạn được phái làm lực lượng tiếp viện từ Pontis Mille à? Những người khác đâu? Bạn có phải sứ giả không?"
"primis_main_quest_7.questCompleteMessage[1]","&7&oI should talk to &aLord Hasta&7&o.","&7&oTôi nên nói chuyện với &aLord Hasta&7&o."
"primis_main_quest_7.questLore[0]","Recently smoke was sighted over the fortress of &dGladius&f.","Gần đây có khói được nhìn thấy trên pháo đài &dGladius&f."
"primis_main_quest_7.questLore[1]","We were unable to go there and see what's happening because a &dShip&f is currently blocking the path.","Chúng tôi không thể tới đó để xem chuyện gì đang xảy ra vì một &dShip&f đang chặn đường."
"primis_main_quest_7.questLore[2]","We got attacked by a bunch of undead-looking creatures when we approached the &dShip&f, so we ran away.","Chúng tôi bị một đám sinh vật giống người chết ám ảnh tấn công khi tiến gần &dShip&f, nên phải rút lui."
"primis_main_quest_7.questLore[3]","I am afraid you will have to force your way through this &dShip&f in order to reach &dGladius&f. I''m sure that they will reward you if you help thin the number of &cUndead&f on that ship!","Tôi e rằng bạn sẽ phải mở đường xuyên qua &dShip&f này để tới được &dGladius&f. Tôi chắc họ sẽ thưởng xứng đáng nếu bạn giúp giảm bớt số &cUndead&f trên con tàu đó!"
"primis_main_quest_8.name","&5Recovering Hope","&5Hồi sức hy vọng"
"primis_main_quest_8.questAcceptDialog[0]","&a[General Hasta] The note is in my &dMansion&f. Be sure to bring it back. My men here also have other requests around town you can help with, if able.","&a[General Hasta]&f Ghi chú ở trong &dMansion&f của tôi. Hãy đảm bảo mang nó trở lại. Lính tại đây cũng có các yêu cầu khác quanh thị trấn mà nếu có thể bạn có thể giúp."
"primis_main_quest_8.questAcceptDialog[1]","&7&oI should check what the other soldiers need and head to the &dMansion&7&o at the town exit.","&7&oTôi nên kiểm tra nhu cầu của các binh sĩ khác và đi tới &dMansion&7&o ở lối ra thị trấn."
"primis_main_quest_8.questCompleteMessage[0]","&a[Lord Hasta]&f Outstanding! Recovering this &eDocument&f in the middle of a war? If we had 10 more of you, the city would never have been taken in the first place!","&a[Lord Hasta]&f Tuyệt vời! Lấy lại &eDocument&f trong thời chiến? Nếu có thêm 10 người như bạn, thành phố chưa bao giờ mất ngay từ đầu!"
"primis_main_quest_8.questCompleteMessage[1]","Before you go, do you think you could do me a small personal favor?","Trước khi đi, bạn nghĩ có thể giúp tôi một việc cá nhân nhỏ không?"
"primis_main_quest_8.questCompleteMessage[2]","&7&oSeems like &aLord Hasta&7&o wants to talk to me.","&7&oCó vẻ như &aLord Hasta&7&o muốn nói chuyện với tôi."
"primis_main_quest_8.questLore[0]","We never saw this invasion coming.","Chúng tôi chưa từng nhìn thấy cuộc xâm lược này tới."
"primis_main_quest_8.questLore[1]","They came in the dead of night, hit us hard and fast.","Chúng đến vào giờ chết người, đánh rất nhanh và gắt."
"primis_main_quest_8.questLore[2]","Before we knew it, half the city was overrun.","Trước khi nhận ra, một nửa thành phố đã bị tràn ngập."
"primis_main_quest_8.questLore[3]","Morale is low. Everyone here has lost someone.","Tinh thần đang xuống thấp. Ai ở đây cũng đã mất một người thân."
"primis_main_quest_8.questLore[4]","To spite our heartache, our own loved ones parade through the streets in a mockery of life itself.","Để chọc ghẹo nỗi đau của chúng tôi, người thân của chính chúng tôi đi diễu qua các con phố như giễu cợt cả cuộc sống."
"primis_main_quest_8.questLore[5]","We need to rally and bolster morale, or we won't see another dawn!","Chúng ta cần tập hợp và nâng cao tinh thần, nếu không chúng ta sẽ không thấy bình minh nào nữa!"
"primis_main_quest_8.questLore[6]","Back in my &dMansion&f, in my treasury, lies a &eDocument&f of the utmost importance.","Trong &dMansion&f của tôi, ở kho bạc, có một &eDocument&f cực kỳ quan trọng."
"primis_main_quest_8.questLore[7]","It is a written promise with one of the founders of &dPontis Mille&f to provide us with assistance in a time of dire need.","─É├│ l├á lß╗¥i hß╗⌐a bß║▒ng v─ân bß║ún vß╗¢i mß╗Öt trong nhß╗»ng ng╞░ß╗¥i s├íng lß║¡p &dPontis Mille&f ─æß╗â hß╗ù trß╗ú ch├║ng t├┤i khi nguy cß║Ñp."
"primis_main_quest_8.questLore[8]","This is the time. Retrieve the &eDocument&f, bring it back to me and I promise you will be welcomed in &dPontis Mille&f with open arms.","Đây là lúc. Hãy lấy lại &eDocument&f, mang về cho tôi và tôi hứa bạn sẽ được chào đón ở &dPontis Mille&f bằng vòng tay mở rộng."
"primis_main_quest_8.questLore[9]","Soldiers will fight to their last if given this small hope.","Các binh sĩ sẽ chiến đấu đến viên đạn cuối cùng nếu được trao hy vọng nhỏ này."
"primis_main_quest_9.name","&5Gladius' Champion","&5Nhà vô địch Gladius"
"primis_main_quest_9.questAcceptDialog[0]","&a[General Hasta] &fMake your way to the &dStatue&f. I am sure our &cChampion&f will be easy to find.","&a[General Hasta]&f Hãy đến &dStatue&f. Tôi chắc chắn rằng &cChampion&f của chúng ta sẽ dễ tìm."
"primis_main_quest_9.questAcceptDialog[1]","&7&oI should go to the &dStatue&7&o and investigate what happened to the &cChampion of Gladius&7&o.","&7&oTôi nên tới &dStatue&7&o và điều tra chuyện gì đã xảy ra với &cChampion of Gladius&7&o."
"primis_main_quest_9.questCompleteMessage[0]","&a[General Hasta]&f So... The worst has come to pass. I will make sure these beasts shall pay for slaying my son.","&a[General Hasta]&f Vậy... điều tệ nhất đã đến. Tôi sẽ đảm bảo lũ quái thú này phải trả giá vì đã giết con trai tôi."
"primis_main_quest_9.questCompleteMessage[1]","&7&oSeems like &aGeneral Hasta&7&o has some parting words for me.","&7&oCó vẻ như &aGeneral Hasta&7&o có một vài lời chia tay cho tôi."
"primis_main_quest_9.questLore[0]","Before heading to &dPontis Mille&f, I have a personal favor to ask.","Trước khi đến &dPontis Mille&f, tôi có một việc riêng muốn nhờ."
"primis_main_quest_9.questLore[1]","Our &cChampion&f was last seen fighting off a horde of enemies near the &dStatue&f.","&cNhà vô địch&f của chúng tôi được nhìn thấy lần cuối khi đang chống lại một bầy kẻ địch gần &dTượng&f."
"primis_main_quest_9.questLore[2]","We have not heard from him since the start of the invasion and at this stage we fear the worst.","Chúng tôi chưa nghe tin về anh ấy kể từ đầu cuộc xâm lược và bây giờ lo nhất đã xảy ra điều tồi tệ nhất."
"primis_main_quest_9.questLore[3]","Please go check on him. If you find him and he has turned into one of these undead...please free him of his curse.","Hãy đi kiểm tra anh ấy. Nếu bạn tìm thấy và anh ấy đã hóa thành một trong số ma quái này... hãy giải thoát anh ấy khỏi lời nguyền."
"primis_meta_pack.customInfo[0]","The tutorial adventure for players","Cuộc phiêu lưu hướng dẫn cho người chơi"
"primis_meta_pack.customInfo[1]","new to EliteMobs!","mới với EliteMobs!"
"primis_meta_pack.name","&2[000-020] The Primis Adventure!","&2[000-020] Cuộc phiêu lưu Primis!"
"primis_miniboss_1_p1.name","$eventBossLevel &5General Darius","$eventBossLevel &5Tướng Darius"
"primis_miniboss_1_p2.name","$eventBossLevel &5General Darius","$eventBossLevel &5Tướng Darius"
"primis_miniboss_1_p3.name","$eventBossLevel &5General Darius","$eventBossLevel &5Tướng Darius"
"primis_miniboss_1_reinforcement.name","$normalLevel &fInvading Swordmaster","$normalLevel &fKiếm Sư Xâm Lăng"
"primis_miniboss_2_p1.name","$eventBossLevel &6General Tullius","$eventBossLevel &6Tướng Tullius"
"primis_miniboss_2_p2.name","$eventBossLevel &6General Tullius","$eventBossLevel &6Tướng Tullius"
"primis_miniboss_2_p3.name","$eventBossLevel &6General Tullius","$eventBossLevel &6Tướng Tullius"
"primis_miniboss_2_p4.name","$eventBossLevel &6General Tullius","$eventBossLevel &6Tướng Tullius"
"primis_miniboss_3_p1.name","$eventBossLevel &4Commander Niall","$eventBossLevel &4Chỉ Huy Niall"
"primis_miniboss_3_p2.name","$eventBossLevel &4Commander Niall","$eventBossLevel &4Chỉ Huy Niall"
"primis_miniboss_3_p3.name","$eventBossLevel &4Commander Niall","$eventBossLevel &4Chỉ Huy Niall"
"primis_miniboss_3_reinforcement_left.name","$normalLevel &6Invading Rocketeer","$normalLevel &6Lính phóng tên lửa xâm lược"
"primis_miniboss_3_reinforcement_right.name","$normalLevel &6Invading Rocketeer","$normalLevel &6Lính phóng tên lửa xâm lược"
"primis_minor_ice_elemental.name","$minibossLevel &1Minor Ice Elemental","$minibossLevel &1Nguy├¬n Tß╗æ B─âng Nhß╗Å"
"primis_minor_ice_elemental_p2.name","$minibossLevel &1Minor Ice Elemental","$minibossLevel &1Nguy├¬n Tß╗æ B─âng Nhß╗Å"
"primis_monster_slaying_spear.lore[0]","Turns Sea Monsters into barbecue.","Biến quái vật biển thành món nướng."
"primis_monster_slaying_spear.name","&8Monster Slaying Spear","&8Monster Slaying Spear"
"primis_mountain_guide.dialog[0]","Ask not what this village can do for you,
ask what you can do for this village!","─Éß╗½ng hß╗Åi ng├┤i l├áng n├áy l├ám ─æ╞░ß╗úc g├¼ cho bß║ín,
h├úy hß╗Åi bß║ín l├ám ─æ╞░ß╗úc g├¼ cho ng├┤i l├áng n├áy!"
"primis_mountain_guide.dialog[1]","Welcome, outsider","Ch├áo mß╗½ng, ng╞░ß╗¥i ngo├ái"
"primis_mountain_guide.dialog[2]","Need something?","Bß║ín cß║ºn g├¼ kh├┤ng?"
"primis_mountain_guide.dialog[3]","You're not from around these parts,
 are you?","Bạn không phải người quanh vùng này,
 đúng không?"
"primis_mountain_guide.farewell[0]","Off you go!","Đi đi!"
"primis_mountain_guide.farewell[1]","Come back soon!","Sớm quay lại nhé!"
"primis_mountain_guide.greetings[0]","Welcome to our village!","Ch├áo mß╗½ng ─æß║┐n ng├┤i l├áng cß╗ºa ch├║ng t├┤i!"
"primis_mountain_guide.name","&4Petrae","&4Petrae"
"primis_mountain_guide.role","&c<Mountain Guide>","&c<Hướng dẫn viên núi>"
"primis_mountain_guide_2.dialog[0]","Ask not what this village can do for you,
ask what you can do for this village!","─Éß╗½ng hß╗Åi ng├┤i l├áng n├áy l├ám ─æ╞░ß╗úc g├¼ cho bß║ín,
h├úy hß╗Åi bß║ín l├ám ─æ╞░ß╗úc g├¼ cho ng├┤i l├áng n├áy!"
"primis_mountain_guide_2.dialog[1]","Welcome, outsider","Ch├áo mß╗½ng, ng╞░ß╗¥i ngo├ái"
"primis_mountain_guide_2.dialog[2]","Need something?","Bß║ín cß║ºn g├¼ kh├┤ng?"
"primis_mountain_guide_2.dialog[3]","You're not from around these parts,
 are you?","Bạn không phải người quanh vùng này,
 đúng không?"
"primis_mountain_guide_2.farewell[0]","Off you go!","Đi đi!"
"primis_mountain_guide_2.farewell[1]","Come back soon!","Sớm quay lại nhé!"
"primis_mountain_guide_2.greetings[0]","Welcome to our village!","Ch├áo mß╗½ng ─æß║┐n ng├┤i l├áng cß╗ºa ch├║ng t├┤i!"
"primis_mountain_guide_2.name","&4Eartep","&4Eartep"
"primis_mountain_guide_2.role","&c<Mountain Guide>","&c<Hướng dẫn viên núi>"
"primis_mountain_pass_guardian_p1.name","$bossLevel &6The Guardian","$bossLevel &6Ng╞░ß╗¥i Hß╗Ö Vß╗ç"
"primis_mountain_pass_guardian_p2.name","$bossLevel &6The Guardian","$bossLevel &6Ng╞░ß╗¥i Hß╗Ö Vß╗ç"
"primis_mountain_pass_healer.name","$reinforcementLevel &fRepairtron","$reinforcementLevel &fRepairtron"
"primis_nasty_worm.name","$normalLevel &fNasty Worm","$normalLevel &fNasty Worm"
"primis_nemus_leader.dialog[0]","What brings you under the hill?","─Éiß╗üu g├¼ ─æ╞░a bß║ín xuß╗æng d╞░ß╗¢i ngß╗ìn ─æß╗ôi?"
"primis_nemus_leader.dialog[1]","Where are you from?","Bß║ín ─æß║┐n tß╗½ ─æ├óu?"
"primis_nemus_leader.dialog[2]","Have you tried our
delicious glow berries?","Bạn đã thử
quả mọng phát sáng ngon tuyệt của chúng tôi chưa?"
"primis_nemus_leader.farewell[0]","Until next time.","Hẹn gặp lại."
"primis_nemus_leader.name","&3King Nemian DUMMY","&3King Nemian DUMMY"
"primis_nemus_leader.role","&c<Town Leader>","&c<Trưởng thị trấn>"
"primis_ogre_boots.lore[0]","&7They'll keep you nice","&7Chúng sẽ giữ bạn thật tốt"
"primis_ogre_boots.lore[1]","&7and toasty.","&7và thật nóng ấm."
"primis_ogre_boots.name","&cOgre's boots","&cOgre's boots"
"primis_ogre_chestplate.lore[0]","&7Hot to the touch","&7Nóng khi chạm vào"
"primis_ogre_chestplate.name","&cOgre's chestplate","&cOgre's chestplate"
"primis_ogre_helmet.lore[0]","&7You'll be sweating bullets.","&7Bạn sẽ toát mồ hôi như tắm."
"primis_ogre_helmet.name","&cOgre's helmet","&cOgre's helmet"
"primis_ogre_leggings.lore[0]","&7Smoldering slacks.","&7Quần quần than hồng."
"primis_ogre_leggings.name","&cOgre's leggings","&cOgre's leggings"
"primis_ogre_mines_clear.name","&2Ogre-sized problems","&2Ogre-sized problems"
"primis_ogre_mines_clear.questAcceptDialog[0]","&a[Metus]&f You're going to help? Please hurry, the encampment is just beyond here!","&a[Metus]&f Bạn sẽ giúp chứ? Hãy nhanh lên, doanh trại ở ngay sau đây!"
"primis_ogre_mines_clear.questAcceptDialog[1]","&7&oI should clear the encampment and report to &aOld Vetus&7&o.","&7&oTôi nên dọn sạch trại và báo cáo cho &aOld Vetus&7&o."
"primis_ogre_mines_clear.questCompleteMessage[0]","&a[Vetus Fossores]&f You helped us out? Fantastic, we absolutely needed some help right now!","&a[Vetus Fossores]&f Bạn đã giúp chúng tôi chứ? Tuyệt vời, bây giờ chúng tôi thực sự cần có thêm sự giúp đỡ!"
"primis_ogre_mines_clear.questCompleteMessage[1]","Here's a little something for your help clearing the encampment!","Đây là chút quà cho việc bạn giúp dọn sạch trại!"
"primis_ogre_mines_clear.questLore[0]","Our mining encampment was overrun! We need help!","Trại khai mỏ của chúng tôi bị tràn ngập rồi! Chúng tôi cần giúp đỡ!"
"primis_ogre_mines_clear.questLore[1]","I don't really know what happened, but we need someone to clear the encampment and then talk to &aOld Vetus&f!","Tôi không thật sự biết chuyện gì đã xảy ra, nhưng chúng ta cần ai đó dọn sạch trại và sau đó nói chuyện với &aOld Vetus&f!"
"primis_ogre_mines_escaped_miner.dialog[0]","I've got a task for you!","Tôi có một nhiệm vụ cho bạn!"
"primis_ogre_mines_escaped_miner.dialog[1]","I need your help!","Tôi cần sự giúp đỡ của bạn!"
"primis_ogre_mines_escaped_miner.farewell[0]","Off you go!","Đi đi!"
"primis_ogre_mines_escaped_miner.farewell[1]","Be careful in there!","Cẩn thận trong đó!"
"primis_ogre_mines_escaped_miner.farewell[2]","Stay safe!","Giữ an toàn nhé!"
"primis_ogre_mines_escaped_miner.greetings[0]","I can't believe I made it!","Tôi không thể tin là mình đã làm được!"
"primis_ogre_mines_escaped_miner.greetings[1]","They're everywhere!","Chúng ở khắp nơi!"
"primis_ogre_mines_escaped_miner.greetings[2]","Could you lend a hand?","Bạn có thể giúp một tay không?"
"primis_ogre_mines_escaped_miner.name","&cFugit Fossores","&cFugit Fossores"
"primis_ogre_mines_escaped_miner.role","&c<Escaped Miner>","&c<Escaped Miner>"
"primis_ogre_mines_lone_miner.dialog[0]","I've got a task for you!","Tôi có một nhiệm vụ cho bạn!"
"primis_ogre_mines_lone_miner.dialog[1]","I need your help!","Tôi cần sự giúp đỡ của bạn!"
"primis_ogre_mines_lone_miner.farewell[0]","Off you go!","Đi đi!"
"primis_ogre_mines_lone_miner.farewell[1]","Back to mining for me!","Quay lại việc đào mỏ!"
"primis_ogre_mines_lone_miner.farewell[2]","Stay safe!","Giữ an toàn nhé!"
"primis_ogre_mines_lone_miner.greetings[0]","Finally, some help!","Cuối cùng cũng có người giúp!"
"primis_ogre_mines_lone_miner.greetings[1]","Don't let them see you!","Đừng để chúng thấy bạn!"
"primis_ogre_mines_lone_miner.greetings[2]","Help me!","Cứu tôi!"
"primis_ogre_mines_lone_miner.name","&cFortis Fossores","&cFortis Fossores"
"primis_ogre_mines_lone_miner.role","&c<Lone Miner>","&c<Lone Miner>"
"primis_ogre_mines_lost_bretheren.customObjectives.Objective1.dialog[0]","&a[Fortis Fossores] &fWhat do you want? What, &aFugit&f sent you? What for? The mines were overrun? Hah, I didn't even notice!","&a[Fortis Fossores] &fAnh muốn gì? &aFugit&f đã gửi bạn đến? Vì sao? Mỏ bị tràn ngập? Ha, tôi còn chưa nhận ra!"
"primis_ogre_mines_lost_bretheren.customObjectives.Objective1.dialog[1]","Let that worrywart brother of mine know that I am fine. Now, begone! I am on the verge of making a big mining discovery. I call it - branch mining! Hehehe, this one will change everything!","Nhắn với ông anh hay lo của tôi là tôi vẫn ổn. Giờ thì đi đi! Tôi sắp tạo ra một khám phá khai mỏ vĩ đại. Tôi gọi nó là - đào nhánh! Hehehe, cái này sẽ thay đổi mọi thứ!"
"primis_ogre_mines_lost_bretheren.customObjectives.Objective1.location","in the mines","in the mines"
"primis_ogre_mines_lost_bretheren.customObjectives.Objective1.npcName","Fugit's Brother","Fugit's Brother"
"primis_ogre_mines_lost_bretheren.name","&5Lost Bretheren","&5Lost Bretheren"
"primis_ogre_mines_lost_bretheren.questAcceptDialog[0]","&a[Fugit] &fPlease find my &aBrother&f and make sure he's OK!","&a[Fugit] &fXin hãy tìm &aAnh trai&f của tôi và chắc rằng anh ấy vẫn ổn!"
"primis_ogre_mines_lost_bretheren.questAcceptDialog[1]","&7&oI find &aFugit's Brother&7&o in the &dMines&7&o overrun by &cOgres&7&o.","&7&oTôi phát hiện &aAnh trai của Fugit&7&o trong các &dMines&7&o bị &cOgres&7&o tấn công đấy."
"primis_ogre_mines_lost_bretheren.questCompleteMessage[0]","&a[Fugit Fossores]&f My &aBrother&f said what? Ah, typical of him, too focused on his work to notice the entire place was taken over!","&a[Fugit Fossores]&f Anh trai tôi nói gì? Ha, đúng kiểu hắn, quá tập trung vào công việc đến mức không để ý cả khu vực đã bị chiếm!"
"primis_ogre_mines_lost_bretheren.questCompleteMessage[1]","I'll have a serious conversation with him next time I see him!","Lần tới gặp hắn, tôi sẽ nói chuyện nghiêm túc với hắn!"
"primis_ogre_mines_lost_bretheren.questCompleteMessage[2]","Thank you for your help, you can have my best pick-axe, LL I call her. It doesn't look like I'll be able to get mining any time soon at this rate.","Cảm ơn vì đã giúp đỡ, bạn có thể lấy chiếc pick-axe tốt nhất của tôi, LL, tôi gọi tên nó. Theo kiểu này thì tôi nghĩ mình không thể đào lại sớm."
"primis_ogre_mines_lost_bretheren.questLore[0]","The mine was overrun by &cOgres&7&o!","Mỏ bị &cOgres&7&o xâm chiếm rồi!"
